Name,Notes,Sources
Now 8 News (Now8News.com),"Started in 2015, this fake news website is also designed to look like a local television outlet. Several of the website's fake stories have successfully spread on social media.",[27][72][73]
Prntly,"A politically conservative news site described by Snopes as ""a disreputable outlet that has a penchant for publishing both fake news and spurious pro-Trump articles"".",[74][75]
React 365,"This user-created fake news generator, supposedly for ""pranking your friends"", had at least two stories that went viral.",[27]
Red Flag News,,[17]
The Reporterz,"Starting in early 2016, this fake news website penned several different hoaxes, including one about a murder over a Twitter trend.",[27]
Stuppid,This fake news purveyor specializes in articles with stories that are morally offensive.,[27]
TrueTrumpers.com,"This fake news website makes ""claims about President Donald Trump, former President Barack Obama and Muslims, in particular, as well as click-baiting claims about porn stars and secret tricks for weight loss and whiter teeth.""[76]",[76]
UndergroundNewsReport.com,"According to PolitiFact, ""the site purposely writes outlandish stories to trick readers"". Launched on February 21, 2017, the website gained more than 1 million page views in its first two weeks; in less than a month the site was sued by Whoopi Goldberg.",[77][78]
United Media Publishing,Owned by Jestin Coler.,[33]
usatoday.com.co,,[33]
washingtonpost.com.co,"Originally registered by Jestin Coler. The Washington Post submitted a complaint against Coler's registration of the site with GoDaddy under the UDRP, and in 2015, an arbitral panel ruled that Coler's registration of the domain name was a form of bad-faith cybersquatting (specifically, typosquatting), ""through a website that competes with Complainant through the use of fake news. ... The fake news content misleads readers and serves as 'click bait' to drive readers to other sites, or to share the fake news content with others on social networking websites, to generate advertising revenue.""[79]",[33]
World Truth TV,,[17]
World News Daily Report (worldnewsreport.com),Run by Janick Murray-Hall.,[80][81]
YourNewsWire.com,"Founded by Sean Adl-Tabatabai and Sinclair Treadway in 2014.[82] It has published fake stories, such as ""claims that the Queen had threatened to abdicate if the UK voted against Brexit"".[83]",[83][84]
